date,dns,visit_count
NO DATE,alyssa.p,1
28/Jul/1995,pcmas.it.bton.ac.uk,353
27/Jul/1995,edams.ksc.nasa.gov,283
26/Jul/1995,piweba3y.prodigy.com,312
25/Jul/1995,jbiagioni.npt.nuwc.navy.mil,763
24/Jul/1995,198.133.29.18,436
23/Jul/1995,currypc.fpl.msstate.edu,709
22/Jul/1995,currypc.fpl.msstate.edu,700
21/Jul/1995,siltb10.orl.mmc.com,1354
20/Jul/1995,siltb10.orl.mmc.com,884
19/Jul/1995,siltb10.orl.mmc.com,847
18/Jul/1995,siltb10.orl.mmc.com,518
17/Jul/1995,siltb10.orl.mmc.com,850
16/Jul/1995,piweba3y.prodigy.com,1280
15/Jul/1995,piweba4y.prodigy.com,974
14/Jul/1995,piweba4y.prodigy.com,1029
13/Jul/1995,piweba3y.prodigy.com,1202
12/Jul/1995,indy.gradient.com,1356
11/Jul/1995,bill.ksc.nasa.gov,1394
10/Jul/1995,e659229.boeing.com,358
09/Jul/1995,alyssa.prodigy.com,545
08/Jul/1995,piweba3y.prodigy.com,781
07/Jul/1995,piweba3y.prodigy.com,879
06/Jul/1995,piweba3y.prodigy.com,732
05/Jul/1995,news.ti.com,826
04/Jul/1995,piweba3y.prodigy.com,1199
03/Jul/1995,piweba3y.prodigy.com,1067
02/Jul/1995,piweba3y.prodigy.com,960
01/Jul/1995,piweba3y.prodigy.com,623
